RSSI_RX-1,RSSI_RX-2,Location Side,Reference Points
-75,-84,Center,Ref-1
-78,-86,Center,Ref-1
-77,-86,Center,Ref-1
-77,-89,Center,Ref-1
-85,-89,Center,Ref-1
-85,-84,Center,Ref-1
-91,-83,Center,Ref-1
-87,-83,Center,Ref-1
-79,-81,Center,Ref-1
-78,-86,Center,Ref-1
-80,-82,Right,Ref-2
-76,-82,Right,Ref-2
-76,-92,Right,Ref-2
-79,-83,Right,Ref-2
-79,-85,Right,Ref-2
-78,-87,Right,Ref-2
-78,-87,Right,Ref-2
-79,-86,Right,Ref-2
-80,-87,Right,Ref-2
-79,-86,Right,Ref-2
-81,-84,Right,Ref-3
-88,-84,Right,Ref-3
-88,-87,Right,Ref-3
-86,-87,Right,Ref-3
-86,-86,Right,Ref-3
-86,-87,Right,Ref-3
-85,-88,Right,Ref-3
-84,-86,Right,Ref-3
-85,-80,Right,Ref-3
-84,-80,Right,Ref-3
-88,-101,Right,Ref-4
-88,-100,Right,Ref-4
-90,-96,Right,Ref-4
-86,-96,Right,Ref-4
-86,-101,Right,Ref-4
-85,-99,Right,Ref-4
-86,-96,Right,Ref-4
-86,-102,Right,Ref-4
-85,-102,Right,Ref-4
-85,-95,Right,Ref-4
-89,-82,Right,Ref-5
-97,-82,Right,Ref-5
-93,-81,Right,Ref-5
-91,-83,Right,Ref-5
-90,-81,Right,Ref-5
-90,-83,Right,Ref-5
-91,-83,Right,Ref-5
-91,-81,Right,Ref-5
-89,-81,Right,Ref-5
-90,-81,Right,Ref-5
-81,-82,Right,Ref-6
-81,-85,Right,Ref-6
-80,-85,Right,Ref-6
-82,-83,Right,Ref-6
-81,-83,Right,Ref-6
-81,-83,Right,Ref-6
-81,-82,Right,Ref-6
-81,-82,Right,Ref-6
-84,-83,Right,Ref-6
-82,-82,Right,Ref-6
-81,-83,Right,Ref-7
-82,-82,Right,Ref-7
-83,-82,Right,Ref-7
-82,-83,Right,Ref-7
-83,-83,Right,Ref-7
-84,-82,Right,Ref-7
-83,-83,Right,Ref-7
-83,-84,Right,Ref-7
-83,-82,Right,Ref-7
-83,-83,Right,Ref-7
-91,-83,Right,Ref-8
-86,-81,Right,Ref-8
-93,-82,Right,Ref-8
-98,-83,Right,Ref-8
-100,-82,Right,Ref-8
-89,-80,Right,Ref-8
-90,-80,Right,Ref-8
-86,-82,Right,Ref-8
-87,-81,Right,Ref-8
-90,-81,Right,Ref-8
-87,-91,Right,Ref-9
-90,-88,Right,Ref-9
-91,-88,Right,Ref-9
-87,-90,Right,Ref-9
-88,-90,Right,Ref-9
-88,-86,Right,Ref-9
-87,-86,Right,Ref-9
-87,-91,Right,Ref-9
-88,-90,Right,Ref-9
-87,-92,Right,Ref-9
-94,-80,Right,Ref-10
-91,-80,Right,Ref-10
-93,-81,Right,Ref-10
-94,-80,Right,Ref-10
-90,-81,Right,Ref-10
-93,-80,Right,Ref-10
-93,-78,Right,Ref-10
-95,-87,Right,Ref-10
-98,-86,Right,Ref-10
-100,-81,Right,Ref-10
-92,-72,Right,Ref-11
-101,-73,Right,Ref-11
-91,-74,Right,Ref-11
-89,-73,Right,Ref-11
-88,-72,Right,Ref-11
-86,-74,Right,Ref-11
-86,-76,Right,Ref-11
-84,-76,Right,Ref-11
-89,-73,Right,Ref-11
-88,-72,Right,Ref-11
-86,-83,Right,Ref-12
-91,-79,Right,Ref-12
-93,-79,Right,Ref-12
-89,-84,Right,Ref-12
-89,-81,Right,Ref-12
-88,-81,Right,Ref-12
-87,-82,Right,Ref-12
-86,-94,Right,Ref-12
-88,-89,Right,Ref-12
-88,-81,Right,Ref-12
-91,-80,Right,Ref-13
-88,-81,Right,Ref-13
-87,-89,Right,Ref-13
-93,-88,Right,Ref-13
-88,-90,Right,Ref-13
-89,-92,Right,Ref-13
-90,-80,Right,Ref-13
-90,-87,Right,Ref-13
-88,-92,Right,Ref-13
-88,-81,Right,Ref-13
-92,-69,Right,Ref-14
-93,-73,Right,Ref-14
-93,-73,Right,Ref-14
-92,-72,Right,Ref-14
-93,-72,Right,Ref-14
-94,-72,Right,Ref-14
-93,-72,Right,Ref-14
-94,-72,Right,Ref-14
-95,-72,Right,Ref-14
-94,-72,Right,Ref-14
-85,-73,Right,Ref-15
-86,-70,Right,Ref-15
-87,-71,Right,Ref-15
-85,-70,Right,Ref-15
-85,-71,Right,Ref-15
-85,-70,Right,Ref-15
-86,-72,Right,Ref-15
-86,-70,Right,Ref-15
-85,-69,Right,Ref-15
-85,-70,Right,Ref-15
-93,-69,Center,Ref-16
-92,-68,Center,Ref-16
-92,-68,Center,Ref-16
-92,-69,Center,Ref-16
-92,-69,Center,Ref-16
-93,-69,Center,Ref-16
-92,-69,Center,Ref-16
-94,-68,Center,Ref-16
-91,-71,Center,Ref-16
-93,-71,Center,Ref-16
-76,-67,Left,Ref-17
-77,-67,Left,Ref-17
-77,-68,Left,Ref-17
-80,-68,Left,Ref-17
-87,-68,Left,Ref-17
-84,-65,Left,Ref-17
-82,-64,Left,Ref-17
-80,-65,Left,Ref-17
-80,-66,Left,Ref-17
-80,-69,Left,Ref-17
-83,-83,Left,Ref-18
-82,-84,Left,Ref-18
-84,-85,Left,Ref-18
-83,-97,Left,Ref-18
-84,-87,Left,Ref-18
-86,-83,Left,Ref-18
-87,-101,Left,Ref-18
-87,-89,Left,Ref-18
-91,-82,Left,Ref-18
-86,-83,Left,Ref-18
-84,-72,Left,Ref-19
-84,-73,Left,Ref-19
-83,-74,Left,Ref-19
-85,-76,Left,Ref-19
-81,-74,Left,Ref-19
-80,-74,Left,Ref-19
-81,-75,Left,Ref-19
-83,-72,Left,Ref-19
-83,-72,Left,Ref-19
-83,-74,Left,Ref-19
-77,-73,Left,Ref-20
-77,-74,Left,Ref-20
-77,-79,Left,Ref-20
-81,-80,Left,Ref-20
-76,-81,Left,Ref-20
-78,-78,Left,Ref-20
-78,-77,Left,Ref-20
-77,-79,Left,Ref-20
-77,-78,Left,Ref-20
-77,-80,Left,Ref-20
-77,-77,Left,Ref-21
-78,-76,Left,Ref-21
-77,-78,Left,Ref-21
-77,-77,Left,Ref-21
-78,-76,Left,Ref-21
-79,-77,Left,Ref-21
-80,-76,Left,Ref-21
-80,-74,Left,Ref-21
-79,-74,Left,Ref-21
-79,-73,Left,Ref-21
-75,-76,Left,Ref-22
-73,-73,Left,Ref-22
-74,-74,Left,Ref-22
-75,-77,Left,Ref-22
-82,-80,Left,Ref-22
-81,-77,Left,Ref-22
-88,-73,Left,Ref-22
-88,-73,Left,Ref-22
-85,-75,Left,Ref-22
-86,-74,Left,Ref-22
-78,-82,Left,Ref-23
-79,-78,Left,Ref-23
-79,-78,Left,Ref-23
-79,-80,Left,Ref-23
-79,-78,Left,Ref-23
-79,-78,Left,Ref-23
-77,-78,Left,Ref-23
-78,-76,Left,Ref-23
-86,-78,Left,Ref-23
-86,-76,Left,Ref-23
-72,-75,Left,Ref-24
-72,-76,Left,Ref-24
-70,-78,Left,Ref-24
-70,-78,Left,Ref-24
-70,-78,Left,Ref-24
-70,-76,Left,Ref-24
-69,-76,Left,Ref-24
-69,-77,Left,Ref-24
-69,-76,Left,Ref-24
-69,-77,Left,Ref-24
-68,-78,Left,Ref-25
-67,-77,Left,Ref-25
-69,-82,Left,Ref-25
-68,-79,Left,Ref-25
-68,-78,Left,Ref-25
-67,-79,Left,Ref-25
-66,-79,Left,Ref-25
-67,-81,Left,Ref-25
-68,-81,Left,Ref-25
-67,-79,Left,Ref-25
-74,-97,Left,Ref-26
-71,-95,Left,Ref-26
-74,-90,Left,Ref-26
-73,-85,Left,Ref-26
-73,-85,Left,Ref-26
-75,-84,Left,Ref-26
-76,-84,Left,Ref-26
-76,-86,Left,Ref-26
-76,-81,Left,Ref-26
-76,-81,Left,Ref-26
-70,-78,Left,Ref-27
-71,-78,Left,Ref-27
-71,-78,Left,Ref-27
-70,-77,Left,Ref-27
-70,-79,Left,Ref-27
-71,-79,Left,Ref-27
-71,-78,Left,Ref-27
-72,-80,Left,Ref-27
-72,-80,Left,Ref-27
-72,-79,Left,Ref-27
-67,-82,Left,Ref-28
-66,-83,Left,Ref-28
-65,-81,Left,Ref-28
-64,-82,Left,Ref-28
-64,-83,Left,Ref-28
-65,-83,Left,Ref-28
-65,-83,Left,Ref-28
-65,-81,Left,Ref-28
-65,-81,Left,Ref-28
-65,-81,Left,Ref-28
-71,-86,Left,Ref-29
-71,-84,Left,Ref-29
-71,-85,Left,Ref-29
-72,-85,Left,Ref-29
-70,-87,Left,Ref-29
-71,-88,Left,Ref-29
-70,-88,Left,Ref-29
-69,-89,Left,Ref-29
-70,-90,Left,Ref-29
-71,-89,Left,Ref-29
-70,-87,Left,Ref-30
-73,-90,Left,Ref-30
-71,-92,Left,Ref-30
-73,-90,Left,Ref-30
-73,-91,Left,Ref-30
-67,-92,Left,Ref-30
-68,-90,Left,Ref-30
-68,-95,Left,Ref-30
-72,-97,Left,Ref-30
-75,-93,Left,Ref-30
-68,-84,Left,Ref-31
-68,-85,Left,Ref-31
-68,-83,Left,Ref-31
-68,-84,Left,Ref-31
-68,-89,Left,Ref-31
-67,-90,Left,Ref-31
-67,-85,Left,Ref-31
-69,-85,Left,Ref-31
-71,-88,Left,Ref-31
-71,-85,Left,Ref-31
-71,-82,Left,Ref-32
-73,-83,Left,Ref-32
-73,-84,Left,Ref-32
-72,-83,Left,Ref-32
-72,-83,Left,Ref-32
-75,-82,Left,Ref-32
-76,-82,Left,Ref-32
-79,-80,Left,Ref-32
-74,-80,Left,Ref-32
-75,-82,Left,Ref-32
-71,-83,Left,Ref-33
-70,-84,Left,Ref-33
-71,-83,Left,Ref-33
-72,-85,Left,Ref-33
-73,-89,Left,Ref-33
-70,-91,Left,Ref-33
-67,-95,Left,Ref-33
-66,-87,Left,Ref-33
-66,-88,Left,Ref-33
-67,-89,Left,Ref-33
